# Time, Detrended Flux
8.905850926967803389e+03,-3.117641397897719102e-03
8.905851621759124100e+03,-3.615923785921459910e-03
8.905852312037255615e+03,-2.201796503257691384e-03
8.905853011921513826e+03,1.123043027145609329e-03
8.905853708912152797e+03,-4.477594659448969061e-03
8.905854402777738869e+03,-3.931718822699936666e-03
8.905855096180457622e+03,-3.517449192474986219e-03
8.905855789351742715e+03,-6.827554954902392836e-04
8.905856483449228108e+03,-5.065589579990814606e-03
8.905857178240548819e+03,-2.214884336315670055e-05
8.905857872800901532e+03,3.003876376770353573e-04
8.905858568402938545e+03,-8.482150411648348154e-05
8.905859261689707637e+03,-4.815841025590961166e-03
8.905859954860992730e+03,-2.979715534169424807e-03
8.905860648958478123e+03,-2.252763486122133507e-03
8.905861345022916794e+03,-4.195073936443249885e-03
8.905862044907640666e+03,-4.318947948387164004e-03
8.905862733912188560e+03,-1.570517619170264112e-03
8.905863428009208292e+03,-2.405473988834727628e-03
8.905864121874794364e+03,-1.497794006368957653e-03
8.905864815856330097e+03,-2.418035550681096879e-03
8.905865515740588307e+03,-3.559018756981835452e-03
8.905866201967466623e+03,-1.696700313420063111e-03
8.905866895138751715e+03,-4.615958020635968495e-03
8.905867596296127886e+03,2.470455850910102669e-03
8.905868291319347918e+03,-1.668653335842984475e-03
8.905868979398161173e+03,-1.389243907396808808e-03
8.905869680208154023e+03,-4.095669714205829592e-04
8.905870375347323716e+03,-1.584159035960430728e-03
8.905871070833411068e+03,-1.770689415352855178e-03
8.905871761342510581e+03,3.207544535346329440e-04
8.905872451620176435e+03,-1.296799186681241167e-03
8.905873147222213447e+03,2.714106404887228763e-03
8.905873849768657237e+03,2.754737291434938840e-04
8.905874546411912888e+03,-2.044460936555969610e-03
8.905875235763844103e+03,2.302273930838705240e-04
8.905875921643339097e+03,1.393238185346978852e-03
8.905876624421216547e+03,-2.876859881485671622e-03
8.905877317592501640e+03,2.038749642696568998e-03
8.905878015277907252e+03,3.198357925580097572e-04
8.905878710879478604e+03,1.701364030806118421e-04
8.905879401851911098e+03,-3.345999917225839226e-05
8.905880094560328871e+03,1.739073635216303870e-03
8.905880792013835162e+03,1.280364731054639549e-03
8.905881368402857333e+03,4.172330571039273295e-03
