Sp_ID,2MASS_ID,gaia,RA_1,DEC_1,,
Sp0204-3945,02041803-3945064,4958339052296792448,31.0753132,-39.751745,,
Sp0204-3632,02042212-3632308,4967945760266710016,31.0924179,-36.5418682,,
Sp0205-0653,02050448-0653255,2490502280542585216,31.2686793,-6.8904212,,
Sp0207-3721,02071403-3721502,4967628688601251200,31.8089877,-37.363974,,
Sp0207+1355,02073557+1355564,77216472530687744,31.8983432,13.9322778,,
Sp0208+2542,02081833+2542533,105449766468765952,32.0767816,25.7147747,,
Sp0210-5228,02105554-5228222,4936518694287842816,32.7311453,-52.4728512,,
Sp0211-1427,02110979-1427349,5148403312332170368,32.7907681,-14.4598068,,
Sp0212+2433,02121630+2433214,104320396228185728,33.0680754,24.5559471,,
Sp0212-1036,02121719-1036304,5151948893734911744,33.071647,-10.6084367,,
Sp0213+4444,02132880+4444453,352200138749697408,33.3698777,44.7458939,,
Sp0213-1343,02133713-1343228,5149965026866229760,33.4045959,-13.7231773,,
Sp0215-3040,02150802-3040011,4971892010576979840,33.7840486,-30.6670547,,
Sp0218-3133,02182913-3133230,4971581089304028288,34.621155,-31.5564366,,
Sp0218-0617,02185792-0617499,2487828199544312064,34.7412613,-6.2972219,,
Sp0219-1938,02192807-1938416,5131045975099845376,34.8669482,-19.6448166,,
Sp0222-2732,02224767-2732349,5116817882319879936,35.6985082,-27.543086,,
Sp0225+6229,02252626+6229583,513688675702458880,36.3609044,62.4994631,,
Sp0227-1624,02271036-1624479,5145416111038393216,36.7931333,-16.4132367,,
Sp0227-6447,02271499-6447445,4699699420265887232,36.8119879,-64.7956809,,
Sp0227+5034,02274248+5034468,451548332947464960,36.9271328,50.579644,,
Sp0228+1639,02284243+1639329,82493612948013824,37.1769166,16.6591627,,
Sp0228-6325,02284355-6325052,4700401321000355712,37.1844347,-63.4182212,,
Sp0229+4906,02290958+4906559,354582780449594240,37.2895948,49.1155357,,
Sp0230+1648,02302486+1648262,82512476444934528,37.6037795,16.8070028,,
Sp0230-0953,02304498-0953050,5175327809475722624,37.6875085,-9.8848028,,
Sp0232-2152,02321376-2152154,5126647207035088768,38.0573734,-21.8709313,,
Sp0233+3134,02330440+3134404,133239785421630080,38.2685277,31.5778696,,
Sp0233+2209,02333051+2209144,89186168428165632,38.377238,22.1539283,,
Sp0234+6012,02342146+6012286,465119669390468864,38.5905857,60.2079782,,
Sp0239-1735,02394245-1735471,5132321541732365312,39.9269029,-17.5964662,,
Sp0240+0727,02401863+0727433,18973108224425856,40.0776412,7.4620613,,
Sp0241+5444,02410186+5444373,454010341345229824,40.2577592,54.7436687,,
Sp0242-5232,02425007-5232510,4742124385662135168,40.708788,-52.5475142,,
