# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.905729398379568011e+03 9.968146412199417883e-01 1.998599574195071473e-03 2.171383212963579057e-01 -2.561444873339724926e-01 6.868633274274762002e+00 6.868633274274762002e+00 6.868633274274762002e+00 6.513595339262603829e+02 1.752729720680000103e+00 4.000000000000000000e+01
8.905730093981605023e+03 9.991330874232061676e-01 2.021494440667574895e-03 9.885830442631285964e-01 -2.343977803747837041e-01 5.088588274159934421e+00 5.088588274159934421e+00 5.088588274159934421e+00 6.388156551870085877e+02 1.742846943690000039e+00 4.000000000000000000e+01
8.905730792245361954e+03 1.003239090376534914e+00 2.015847407641771331e-03 -3.583969245852359209e-01 -4.339698861011567210e-01 5.998161916261942395e+00 5.998161916261942395e+00 5.998161916261942395e+00 6.341798977382690055e+02 1.733199982879999990e+00 4.000000000000000000e+01
8.905731481944676489e+03 9.993515115254000269e-01 2.010272429041711894e-03 4.475421089374040928e-01 8.215920356850833772e-02 5.727383008285920951e+00 5.727383008285920951e+00 5.727383008285920951e+00 6.343969293128366189e+02 1.723625910810000050e+00 4.000000000000000000e+01
8.905732176735997200e+03 1.005691433902422549e+00 1.986164017940661008e-03 -1.878112491054447108e+00 -9.614692876273535083e-01 6.794318476394504813e+00 6.794318476394504813e+00 6.794318476394504813e+00 6.354985718110929156e+02 1.714161485570000032e+00 4.000000000000000000e+01
8.905732872800901532e+03 9.940063324422891977e-01 1.957265869948314908e-03 -1.147265910286543900e+00 -7.469145986512649715e-01 7.302881397601188596e+00 7.302881397601188596e+00 7.302881397601188596e+00 6.316944191845757359e+02 1.704858933359999940e+00 4.000000000000000000e+01
8.905733566897921264e+03 9.981645406245264196e-01 1.982479558034074343e-03 1.333015297233315910e-01 5.277129505870131743e-01 6.803844123259546350e+00 6.803844123259546350e+00 6.803844123259546350e+00 6.190446155214912096e+02 1.695713789070000033e+00 4.000000000000000000e+01
8.905734257407486439e+03 1.000202790818942145e+00 1.981122893879519106e-03 5.451688110706718327e-01 6.281954600671075806e-01 6.449057709189155219e+00 6.449057709189155219e+00 6.449057709189155219e+00 6.094959862055147823e+02 1.686598721610000018e+00 4.000000000000000000e+01
8.905734955671243370e+03 1.001206898241516763e+00 1.884406310444251614e-03 -8.926200085512289162e-01 6.546705333395524962e-01 9.729751267520104108e+00 9.729751267520104108e+00 9.729751267520104108e+00 6.071643996408004114e+02 1.677650741759999953e+00 4.000000000000000000e+01
8.905735650463029742e+03 9.918759179917651103e-01 1.949773976644380517e-03 1.069455394603354037e+00 1.357590329632039072e-01 3.662238267069509945e+00 3.662238267069509945e+00 3.662238267069509945e+00 6.113129174491620006e+02 1.668837483699999957e+00 4.000000000000000000e+01
8.905736343634314835e+03 9.956199650347129504e-01 1.954626790237971520e-03 1.417871696012662941e+00 1.989268542851800048e-01 7.270221062088599417e+00 7.270221062088599417e+00 7.270221062088599417e+00 6.070759337234585473e+02 1.660085914509999983e+00 4.000000000000000000e+01
8.905737040624953806e+03 9.901646770075281934e-01 1.906836273357974355e-03 -1.672716023659220008e+00 -9.779763997578981849e-01 8.863521993861809278e+00 8.863521993861809278e+00 8.863521993861809278e+00 6.002884837129960260e+02 1.651487352049999968e+00 4.000000000000000000e+01
8.905737734606489539e+03 9.985664497686614904e-01 1.947499183864955918e-03 9.713904584369954520e-01 6.437974152523623372e-01 7.124655255091423278e+00 7.124655255091423278e+00 7.124655255091423278e+00 5.945449064603675424e+02 1.643051098369999963e+00 4.000000000000000000e+01
8.905738425694406033e+03 9.916018741780031620e-01 1.941700358125507528e-03 -2.405941267899885938e-01 -4.894675563821904163e-01 7.101108900760512377e+00 7.101108900760512377e+00 7.101108900760512377e+00 5.883103492858359687e+02 1.634679846170000062e+00 4.000000000000000000e+01
8.905739119097124785e+03 9.931389364933843611e-01 1.939184242899806869e-03 -1.305032159348793908e+00 -4.731457185094177786e-01 6.999015354421647572e+00 6.999015354421647572e+00 6.999015354421647572e+00 5.852798999441955630e+02 1.626354595500000055e+00 4.000000000000000000e+01
8.905739817939698696e+03 9.975911177761207504e-01 1.930791432015242434e-03 1.764166627973020041e-01 2.697916104177924268e-01 3.847686190152843189e+00 3.847686190152843189e+00 3.847686190152843189e+00 5.900471298827698092e+02 1.618237228819999984e+00 4.000000000000000000e+01
8.905740509837865829e+03 1.003683962930670637e+00 1.962366696692953438e-03 1.311782677909890116e-01 2.813784426335532163e-01 6.008296225615027630e+00 6.008296225615027630e+00 6.008296225615027630e+00 5.898494091618586026e+02 1.610203211329999995e+00 4.000000000000000000e+01
8.905741201851982623e+03 9.936379074683774348e-01 1.929681383906301862e-03 6.873624072552108055e-01 6.646032474412475466e-01 3.590579937125494947e+00 3.590579937125494947e+00 3.590579937125494947e+00 5.846098182753895571e+02 1.602211150970000109e+00 4.000000000000000000e+01
8.905741899305488914e+03 9.975254311336102520e-01 1.937820091202426724e-03 6.919825292496533109e-01 1.012625506272810005e+00 6.698819685447132244e+00 6.698819685447132244e+00 6.698819685447132244e+00 5.737540983571615243e+02 1.594370863299999996e+00 4.000000000000000000e+01
8.905742593402974308e+03 9.972639458491422415e-01 1.934159074387559012e-03 8.841536358203055945e-01 8.563290436878219225e-01 6.349584237691150435e+00 6.349584237691150435e+00 6.349584237691150435e+00 5.679347143765839974e+02 1.586601928459999922e+00 4.000000000000000000e+01
8.905743288541678339e+03 9.965100844824175130e-01 1.950714060038677899e-03 -3.822875885075260882e-01 -8.334398132394239544e-01 5.249873549320041022e+00 5.249873549320041022e+00 5.249873549320041022e+00 5.661638591868287449e+02 1.578970620079999998e+00 4.000000000000000000e+01
8.905743980671279132e+03 9.938958847986251177e-01 1.942826559413126861e-03 -9.857901409277428639e-01 -5.147473364202581614e-01 5.578757464034521441e+00 5.578757464034521441e+00 5.578757464034521441e+00 5.786130193390094973e+02 1.571382309020000090e+00 4.000000000000000000e+01
8.905744677661918104e+03 9.973201736229723169e-01 1.932972071020539525e-03 -1.238265616258676927e+00 -7.377933054796438350e-01 6.281873313519317215e+00 6.281873313519317215e+00 6.281873313519317215e+00 5.881930183680804021e+02 1.563930591499999911e+00 4.000000000000000000e+01
8.905745370833203197e+03 9.977674594950077802e-01 1.944695798175462764e-03 -1.039569302076341017e+00 -7.689751723340644274e-01 5.635900372706315054e+00 5.635900372706315054e+00 5.635900372706315054e+00 5.923212619253999947e+02 1.556514361510000111e+00 4.000000000000000000e+01
8.905746070023160428e+03 9.990035454673850124e-01 1.938793449598014487e-03 -2.891278836356476756e-01 -1.575583807039180884e-01 5.998964686630145593e+00 5.998964686630145593e+00 5.998964686630145593e+00 5.847725613571583381e+02 1.549265206739999901e+00 4.000000000000000000e+01
